"filename", "language", "x86 and x86_64 Assembly", "Batch", "Go", "Shell Script", "JSON", "Cuteify", "Go Module File", "C++", "Markdown", "XML", "comment", "blank", "total"
"/home/gx/Desktop/tiny/package/package.go", "Go", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 5, 12, 94
"/home/gx/Desktop/tiny/parser/breckets.go", "Go", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 9, 90
"/home/gx/Desktop/tiny/parser/build.go", "Go", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"/home/gx/Desktop/tiny/parser/call.go", "Go", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 71, 16, 175
"/home/gx/Desktop/tiny/parser/exp.go", "Go", 0, 0, 495, 0, 0, 0, 0, 0, 0, 0, 110, 42, 647
"/home/gx/Desktop/tiny/parser/func.go", "Go", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 6, 7, 120
"/home/gx/Desktop/tiny/parser/ifelse.go", "Go", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"/home/gx/Desktop/tiny/parser/node.go", "Go", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 6, 8, 79
"/home/gx/Desktop/tiny/parser/parser.go", "Go", 0, 0, 216, 0, 0, 0, 0, 0, 0, 0, 1, 15, 232
"/home/gx/Desktop/tiny/parser/return.go", "Go", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 5, 31
"/home/gx/Desktop/tiny/parser/type.go", "Go", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 3, 6, 102
"/home/gx/Desktop/tiny/parser/var.go", "Go", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 5, 9, 206
"/home/gx/Desktop/tiny/run.bat", "Batch", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/run.sh", "Shell Script", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/test.fut", "Cuteify", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"/home/gx/Desktop/tiny/test/a.cute", "Cuteify", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 3, 9, 68
"/home/gx/Desktop/tiny/test/package.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"/home/gx/Desktop/tiny/test/runtime/package.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/test/runtime/runtime.cute", "Cuteify", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 17, 6, 37
"/home/gx/Desktop/tiny/test/test copy/a.cute", "Cuteify", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 3, 42
"/home/gx/Desktop/tiny/test/test copy/package.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/home/gx/Desktop/tiny/type/type.go", "Go", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 7, 22, 287
"/home/gx/Desktop/tiny/utils/utils.go", "Go", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 2, 19
"Total", "-", 358, 5, 3056, 5, 17, 152, 2, 44, 0, 30, 464, 337, 4470
